Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
Algebraic Methodology and Software Technology,AMAST,CORE2018,C,none,none,0802,0,N/A
Algorithmic Learning Theory,ALT,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/alt,4611,0,N/A
Algorithms and Complexity in Durham,ACID,CORE2018,C,none,none,0802,0,N/A
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/wads,4613,0,N/A
Algorithms and Experiments,ALEX,CORE2018,B,none,none,,0,N/A
Ambient Information Systems,AIS,ERA2010,B,none,none,1203,0,N/A
Ambient Intelligence Developments,Aml.d,CORE2018,C,none,none,0801,0,N/A
American Association of Cost Engineers Annual Meeting,AACE,ERA2010,A,none,none,1202,0,N/A
American Federation of Information Processing Societies,AFIPS,CORE2018,A,none,none,0801,0,N/A
American Medical Informatics Annual Fall Symposium,AMIA,CORE2023,National: USA,none,https://dblp.uni-trier.de/db/conf/amia,4601,2,5.0
"American Society for Heating, Refrigeration and Air Conditioning",ASHRAE,ERA2010,A,none,none,1202,0,N/A
American Society of Mechanical Engineering,,ERA2010,A,none,none,0913,0,N/A
Americas Conference on Information Systems,AMCIS,CORE2018,A,none,https://dblp.uni-trier.de/db/conf/amcis,0806,1,4.0
Americas Conference on Wind Engineering,,ERA2010,B,none,none,0905,0,N/A
Annual Computer Security Applications Conference,ACSAC,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/acsac,4604,4,4.0
Annual conference of American Society for Information Science and Technology,ASIS&T,CORE2008,A,none,none,,0,N/A
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,CORE2018,Australasian,none,none,0899,0,N/A
Annual Conference of the Australian Acoustical Society,,ERA2010,A,none,none,0913,0,N/A
Annual Conference of the International Academy for Information Management,IAIM,CORE2018,C,none,none,0806,0,N/A
Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,CORE2014,A,none,none,0801,0,N/A
Annual Conference on Computer Science Logic,CSL,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/csl,4613,1,N/A
Annual Conference on Evolutionary Programming,EP,CORE2018,C,none,none,0801,0,N/A
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/iticse,4608,0,N/A
"Annual Conference on Privacy, Security and Trust",PST,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/pst,4604,0,N/A
"Annual Convention for Survey, Mapping and Remote Sensing",RS,CORE2018,C,none,none,0909,0,N/A
Annual Fall Workshop on Computational Geometry,CGW,CORE2018,C,none,none,0802,0,N/A
"Annual IASTED International Conference on Networks, Parallel and Distributed Processing and Applications",NPDP,CORE2014,C,none,none,,0,N/A
Annual International Conference of the IEEE Engineering in Medicine and Biology Society,,ERA2010,A,none,none,0903,0,N/A
Annual International Conference on Ada,TRI-Ada,CORE2018,C,none,none,0803,0,N/A
Annual International Workshop on Presence,ISPR,CORE2023,C,See note,none,4607,0,N/A
Annual Meeting of the Cognitive Science Society,CogSci,CORE2023,B,See note,https://dblp.uni-trier.de/db/conf/cogsci,4602,0,N/A
Annual Meeting of the Decision Sciences Institute,DSI,CORE2018,C,none,none,0806,0,N/A
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/sigdial,4602,0,N/A
Annual PKI R&D Workshop,PKI,CORE2018,C,none,none,0803,0,N/A
Annual PPIG Workshop,PPIG,CORE2018,B,none,https://dblp.uni-trier.de/db/conf/ppig,0806,0,N/A
Annual Simulation Symposium,ANSS,CORE2018,B,none,none,0802,0,N/A
"Annual Water Distribution Systems Analysis Conference, WDSA 2008",,ERA2010,A,none,none,0905,0,N/A
AoM Organizational Communication and Information Systems,OCIS,CORE2018,A,none,none,0806,0,N/A
Apple University Consortium Academic and Developers Conference,AUCADC,CORE2018,C,none,none,0899,0,N/A
Application of Computers and Operations Research in the Minerals Industries,APCOMin,CORE2018,A,none,none,0909,0,N/A
Application of Concurrency to System Design,ACSD,CORE2021,B,none,https://dblp.uni-trier.de/db/conf/acsd,4606,0,N/A
Applications of Information Visualization,IV-App,CORE2023,C,none,none,4608,0,N/A
Applications of Natural Language to Data Bases,NLDB,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/nldb,4602,0,N/A
Applied Computing Conference,ACC,CORE2023,C,none,none,4601,0,N/A
Applied Perception in Graphics and Visualization,APGV,CORE2018,C,none,none,0801,0,N/A
Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/asplos,4612,0,N/A
Argentine Symposium on Artificial Intelligence,ASAI,CORE2017,C,none,none,0801,0,N/A
Argentine Workshop on Theoretical Informatics,AWTI,CORE2008,B,none,none,,0,N/A
Artificial Intelligence and Applications Conference,AIA,CORE2018,C,none,none,,0,N/A
Artificial Intelligence Applications and Innovations,AIAI,CORE2023,C,none,https://dblp.org/db/conf/aiai,4601,0,N/A
Artificial Intelligence in Knowledge Management,AIKM,CORE2018,C,none,none,0801,0,N/A
Artificial Intelligence in Medicine,AIIM,CORE2018,A,none,none,0801,0,N/A
Artificial Neural Networks in Engineering Conference,ANNIE,CORE2018,B,none,none,0801,0,N/A
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/artsit,4607,0,N/A
ASCCS International Conference on Steel-Concrete Composite and Hybrid Structures,,ERA2010,A,none,none,0905,0,N/A
ASEE Annual Conference and Exposition,,ERA2010,B,none,none,09,0,N/A
ASEE Global Colloquium of Engineering Education,,ERA2010,B,none,none,09,0,N/A
Asia and South Pacific Design Automation Conference,ASPDAC,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/aspdac,4606,0,N/A
